行政區,宗祠基金會,宗祠,基金會,教會,寺廟
臺北市,3,30,66,234,281
宜蘭縣,2,2,1,20,659
金門縣,1,0,6,4,207
臺中市,1,1,22,118,995
高雄市,1,9,21,114,1503
桃園市,0,7,7,62,313
澎湖縣,0,1,0,4,192
基隆市,0,6,1,19,230
臺南市,0,10,3,74,1663
新北市,0,3,14,146,944
花蓮縣,0,0,1,38,193
苗栗縣,0,0,3,90,382
南投縣,0,0,7,19,489
新竹市,0,0,2,39,163
嘉義縣,0,0,2,7,714
新竹縣,0,0,1,17,198
彰化縣,0,0,4,16,881
臺東縣,0,0,1,27,218
雲林縣,0,0,1,15,813
屏東縣,0,0,0,26,1143
嘉義市,0,0,0,20,149
連江縣,0,0,0,0,67
